=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.04.27 20:07:10 =~=~=~=~=~=~=~=~=~=~=~=
60,4.0
120,4.0
180,4.0
240,3.9
300,3.9
360,3.9
420,3.9
480,3.9
540,3.9
600,3.9
660,3.9
720,3.9
780,3.8
840,3.8
900,3.8
960,3.8
1020,3.8
1080,3.8
1140,3.8
1200,3.8
1260,3.8
1320,3.8
1380,3.7
1440,3.7
1500,3.7
1560,3.7
1620,3.7
1680,3.7
1740,3.7
1800,3.7
1860,3.7
1920,3.6
1980,3.6
2040,3.6
2100,3.6
2160,3.6
2220,3.6
2280,3.6
2340,3.6
2400,3.6
2460,3.6
2520,3.6
2580,3.5
2640,3.5
2700,3.5
2760,3.5
2820,3.5
2880,3.5
2940,3.5
3000,3.5
3060,3.5
3120,3.5
3180,3.5
3240,3.5
3300,3.5
3360,3.5
3420,3.5
3480,3.4
3540,3.4
3600,3.4
3660,3.4
3720,3.4
3780,3.4
3840,3.4
3900,3.4
3960,3.4
4020,3.4
4080,3.4
4140,3.4
4200,3.4
4260,3.4
4320,3.4
4380,3.4
4440,3.4
4500,3.4
4560,3.4
4620,3.4
4680,3.3
4740,3.3
4800,3.3
4860,3.3
4920,3.3
4980,3.3
5040,3.3
5100,3.3
5160,3.3
5220,3.2
5280,3.2
5340,3.2
